dataset,regime,model,baseline,alpha,gamma,worst_group_tail,worst_group_tail_std,baseline_worst_group_tail,margin,margin_pct
adult,infeasible,fedavot_cvar,fedavot,0.2,0.9,0.35837,0.00273886,0.361572,0.0032018,0.885522
adult,infeasible,fedavot_cvar,fedavot,0.3,0.8,0.358815,0.00254472,0.361572,0.0027568,0.762448
adult,infeasible,fedavot_cvar,fedavot,0.3,0.7,0.35897,0.00226924,0.361572,0.0026016,0.719525
adult,infeasible,fedavot_cvar,fedavot,0.1,0.8,0.359147,0.00227242,0.361572,0.0024252,0.670738
adult,infeasible,fedavot_cvar,fedavot,0.1,0.9,0.359197,0.00229466,0.361572,0.0023754,0.656965
adult,infeasible,fedavot_cvar,fedavot,0.9,0.2,0.35943,0.00283078,0.361572,0.002142,0.592413
adult,infeasible,fedavot_cvar,fedavot,0.9,0.1,0.359457,0.00282924,0.361572,0.0021154,0.585056
adult,infeasible,fedavot_cvar,fedavot,0.3,0.9,0.359485,0.00277942,0.361572,0.0020874,0.577312
adult,infeasible,fedavot_cvar,fedavot,0.9,0.3,0.35949,0.00286942,0.361572,0.0020816,0.575708
adult,infeasible,fedavot_cvar,fedavot,0.2,0.6,0.359595,0.00209831,0.361572,0.0019768,0.546724
adult,infeasible,fedavot_cvar,fedavot,0.9,0.4,0.359633,0.00287592,0.361572,0.0019388,0.536214
adult,infeasible,fedavot_cvar,fedavot,0.7,0.4,0.359685,0.00312772,0.361572,0.0018868,0.521832
adult,infeasible,fedavot_cvar,fedavot,0.7,0.5,0.359707,0.00317809,0.361572,0.0018652,0.515859
adult,infeasible,fedavot_cvar,fedavot,0.1,0.7,0.359716,0.00216157,0.361572,0.001856,0.513314
adult,infeasible,fedavot_cvar,fedavot,0.8,0.3,0.359719,0.00295199,0.361572,0.0018534,0.512595
adult,infeasible,fedavot_cvar,fedavot,0.8,0.4,0.35975,0.00297314,0.361572,0.0018222,0.503966
adult,infeasible,fedavot_cvar,fedavot,0.7,0.6,0.359764,0.00322309,0.361572,0.0018082,0.500094
adult,infeasible,fedavot_cvar,fedavot,0.8,0.2,0.359778,0.00288506,0.361572,0.0017942,0.496222
adult,infeasible,fedavot_cvar,fedavot,0.7,0.3,0.359781,0.00310141,0.361572,0.001791,0.495337
adult,infeasible,fedavot_cvar,fedavot,0.3,0.6,0.359811,0.00204167,0.361572,0.0017606,0.486929
adult,infeasible,fedavot_cvar,fedavot,0.9,0.5,0.359845,0.0028791,0.361572,0.001727,0.477637
adult,infeasible,fedavot_cvar,fedavot,0.8,0.5,0.359866,0.00297455,0.361572,0.0017062,0.471884
adult,infeasible,fedavot_cvar,fedavot,0.8,0.1,0.359911,0.00284318,0.361572,0.0016614,0.459494
adult,infeasible,fedavot_cvar,fedavot,0.7,0.2,0.359973,0.0030669,0.361572,0.0015994,0.442346
adult,infeasible,fedavot_cvar,fedavot,0.7,0.7,0.360015,0.00324681,0.361572,0.0015568,0.430564
adult,infeasible,fedavot_cvar,fedavot,0.8,0.6,0.360082,0.00300228,0.361572,0.0014896,0.411979
adult,infeasible,fedavot_cvar,fedavot,0.9,0.6,0.360117,0.00289172,0.361572,0.001455,0.402409
adult,infeasible,fedavot_cvar,fedavot,0.4,0.8,0.36018,0.00275677,0.361572,0.0013918,0.38493
adult,infeasible,fedavot_cvar,fedavot,0.7,0.1,0.360249,0.00306075,0.361572,0.0013232,0.365958
adult,infeasible,fedavot_cvar,fedavot,0.8,0.7,0.360349,0.00300843,0.361572,0.0012228,0.33819
adult,infeasible,fedavot_cvar,fedavot,0.6,0.4,0.360358,0.00318018,0.361572,0.001214,0.335756
