cell,dataset,regime,beta,tag,nu,group,model,n_seeds,rare_mean,rare_std,overall_mean,overall_std
imdb_beta1.50_decay1000,imdbwiki,infeasible,1.5,decay1000,0.7713077149299089,tier1,full,5,72.2286,0.0,82.9485,0.0
imdb_beta2.00_const,imdbwiki,infeasible,2.0,const,0.8195853347711008,tier1,fedavot,5,109.819,0.7019737886844482,111.64020000000001,1.1552636755303964
imdb_beta2.00_const,imdbwiki,infeasible,2.0,const,0.8195853347711008,tier1,fedavg,5,102.35,0.5704419339424477,106.1238,0.4176153253892843
imdb_beta2.00_const,imdbwiki,infeasible,2.0,const,0.8195853347711008,tier1,full,5,72.4865,0.0,83.0686,0.0
imdb_beta2.00_decay1000,imdbwiki,infeasible,2.0,decay1000,0.8195853347711008,tier1,fedavot,5,101.72500000000001,0.5234520035304067,103.7648,0.9009262788930104
imdb_beta2.00_decay1000,imdbwiki,infeasible,2.0,decay1000,0.8195853347711008,tier1,fedavg,5,99.8199,0.5756684948822537,103.7374,0.3824701818442859
imdb_beta2.00_decay1000,imdbwiki,infeasible,2.0,decay1000,0.8195853347711008,tier1,full,5,72.2286,0.0,82.9485,0.0
imdb_beta3.00_const,imdbwiki,infeasible,3.0,const,0.8771532202725223,tier1,fedavot,5,113.5236,0.7278457528899916,116.40480000000001,0.532946301234938
imdb_beta3.00_const,imdbwiki,infeasible,3.0,const,0.8771532202725223,tier1,fedavg,5,103.7784,0.868843967579912,108.4674,0.6747018897261239
imdb_beta3.00_const,imdbwiki,infeasible,3.0,const,0.8771532202725223,tier1,full,5,72.4865,0.0,83.0686,0.0
imdb_beta3.00_decay1000,imdbwiki,infeasible,3.0,decay1000,0.8771532202725223,tier1,fedavot,5,105.4824,0.6536627876818476,108.3978,0.35801083782477783
imdb_beta3.00_decay1000,imdbwiki,infeasible,3.0,decay1000,0.8771532202725223,tier1,fedavg,5,101.2602,0.7058825398038928,106.117,0.5386015224634986
imdb_beta3.00_decay1000,imdbwiki,infeasible,3.0,decay1000,0.8771532202725223,tier1,full,5,72.2286,0.0,82.9485,0.0
imdb_feasible_decay1000,imdbwiki,feasible,,decay1000,0.0,tier1,fedavot,5,73.6308,0.6719770085352662,84.27846,0.1476882879581149
imdb_feasible_decay1000,imdbwiki,feasible,,decay1000,0.0,tier1,fedavg,5,79.89064,0.6551597044995965,86.37158,0.3358030815820472
imdb_feasible_decay1000,imdbwiki,feasible,,decay1000,0.0,tier1,fedavg_mk,5,999997000000.0,0.0,1000000000000.0,0.0
imdb_feasible_decay1000,imdbwiki,feasible,,decay1000,0.0,tier1,full,5,72.2286,0.0,82.9485,0.0
