round,FedAVOT,"FedAVOT + CVaR (a=0.3, g=0.3)","FedCVaR uniform agg (a=0.3, g=0.3)",FedAvg (uniform over K),FedAvg (full)
3060,0.22377,0.2438,0.263014,0.239548,0.204415
3070,0.223862,0.243472,0.262555,0.239404,0.204404
3080,0.223996,0.243513,0.263514,0.241124,0.204393
3090,0.222771,0.241715,0.264831,0.239884,0.204382
3100,0.223055,0.241423,0.264068,0.240251,0.204371
3110,0.223639,0.243156,0.264882,0.240791,0.20436
3120,0.224508,0.244163,0.26417,0.240751,0.204349
3130,0.226087,0.246125,0.268054,0.241983,0.204339
3140,0.224864,0.244937,0.264447,0.240024,0.204328
3150,0.22337,0.242538,0.266094,0.241484,0.204318
3160,0.223109,0.242755,0.262615,0.239979,0.204307
3170,0.225119,0.242571,0.263212,0.241133,0.204297
3180,0.224082,0.242287,0.26203,0.240109,0.204286
3190,0.22467,0.244004,0.264525,0.240778,0.204276
3200,0.22507,0.24418,0.264368,0.240625,0.204266
3210,0.225094,0.245868,0.263942,0.239951,0.204255
3220,0.225939,0.244616,0.262531,0.240908,0.204245
3230,0.225715,0.244736,0.26581,0.241094,0.204235
3240,0.224731,0.243772,0.263494,0.240624,0.204225
3250,0.223634,0.243204,0.264037,0.239664,0.204215
3260,0.22421,0.242275,0.263388,0.240638,0.204205
3270,0.223965,0.241065,0.262542,0.241094,0.204195
3280,0.222921,0.240331,0.261199,0.239973,0.204185
3290,0.223196,0.242013,0.262348,0.23943,0.204175
3300,0.224112,0.245564,0.265516,0.240907,0.204166
3310,0.22401,0.243749,0.264378,0.240745,0.204156
3320,0.224116,0.243738,0.26278,0.239898,0.204146
3330,0.223103,0.242317,0.260921,0.238727,0.204137
3340,0.22252,0.241235,0.262673,0.239558,0.204127
3350,0.222017,0.240781,0.260825,0.238803,0.204118
3360,0.222004,0.24039,0.261846,0.238564,0.204108
3370,0.221648,0.241238,0.261099,0.238087,0.204099
3380,0.221858,0.242407,0.262083,0.238026,0.204089
3390,0.221974,0.240605,0.259051,0.237843,0.20408
3400,0.22279,0.242294,0.260344,0.238087,0.20407
3410,0.223,0.241867,0.262395,0.239866,0.204061
3420,0.22295,0.24122,0.262948,0.24048,0.204052
3430,0.222755,0.241982,0.262271,0.239039,0.204043
3440,0.223329,0.240883,0.261327,0.239077,0.204034
3450,0.222501,0.241031,0.261186,0.23844,0.204025
3460,0.223538,0.241951,0.26147,0.238986,0.204015
3470,0.224685,0.243821,0.264174,0.240425,0.204007
3480,0.223861,0.240896,0.262711,0.239599,0.203998
3490,0.223964,0.24127,0.262469,0.240314,0.203989
3500,0.224374,0.241666,0.262688,0.239826,0.20398
3510,0.222679,0.239206,0.259598,0.238166,0.203971
3520,0.22424,0.242584,0.263236,0.240451,0.203962
3530,0.22262,0.239799,0.261335,0.23846,0.203953
3540,0.221709,0.239023,0.261506,0.238586,0.203945
3550,0.221907,0.239453,0.259598,0.238376,0.203936
3560,0.221984,0.240964,0.262169,0.238869,0.203927
3570,0.221639,0.238952,0.260651,0.238207,0.203919
3580,0.221721,0.238736,0.258082,0.23759,0.20391
3590,0.222155,0.239853,0.26024,0.238448,0.203902
3600,0.222166,0.239124,0.259786,0.238206,0.203893
3610,0.2215,0.239813,0.258041,0.237651,0.203885
3620,0.222861,0.24094,0.260764,0.23877,0.203876
3630,0.222458,0.241944,0.262647,0.238087,0.203868
3640,0.220992,0.238494,0.258712,0.236975,0.20386
3650,0.221873,0.239791,0.258517,0.237015,0.203851
3660,0.222077,0.238657,0.257386,0.237601,0.203843
3670,0.221349,0.238755,0.258019,0.237519,0.203835
3680,0.222044,0.240272,0.258299,0.237397,0.203827
3690,0.221815,0.239053,0.258053,0.237414,0.203819
3700,0.224198,0.240345,0.259743,0.239907,0.20381
3710,0.223384,0.2409,0.260014,0.238698,0.203802
3720,0.223222,0.241397,0.260338,0.238365,0.203794
3730,0.224101,0.241174,0.259539,0.239193,0.203786
3740,0.22422,0.242406,0.259222,0.238323,0.203778
3750,0.222459,0.240128,0.258965,0.238708,0.20377
3760,0.222097,0.24202,0.26258,0.238018,0.203763
3770,0.221324,0.238784,0.258511,0.237292,0.203755
3780,0.221036,0.238964,0.258024,0.237511,0.203747
3790,0.221385,0.23987,0.258933,0.23765,0.203739
3800,0.221258,0.239113,0.257771,0.236959,0.203731
3810,0.221418,0.240052,0.258921,0.237073,0.203724
3820,0.220653,0.239228,0.258684,0.237524,0.203716
3830,0.221331,0.240364,0.258169,0.236547,0.203708
3840,0.221278,0.239728,0.25854,0.236988,0.2037
3850,0.221971,0.23932,0.258921,0.237442,0.203693
3860,0.223582,0.241244,0.259383,0.238628,0.203685
3870,0.223827,0.241849,0.260407,0.238735,0.203678
3880,0.223136,0.241465,0.259547,0.237878,0.20367
3890,0.224716,0.24341,0.261133,0.238694,0.203663
3900,0.223191,0.241925,0.261732,0.238744,0.203655
3910,0.222779,0.241001,0.260109,0.238444,0.203648
3920,0.223893,0.24132,0.259993,0.239127,0.203641
3930,0.224097,0.242849,0.257186,0.238044,0.203633
3940,0.224109,0.241564,0.258639,0.238284,0.203626
3950,0.223332,0.239894,0.25879,0.238001,0.203619
3960,0.222454,0.238724,0.257444,0.236274,0.203611
3970,0.223427,0.240622,0.258347,0.238158,0.203604
3980,0.224112,0.240428,0.258631,0.238043,0.203597
3990,0.223133,0.240342,0.259328,0.23826,0.20359
3999,0.222903,0.240358,0.25891,0.237777,0.203583
