round,FedAVOT,"FedAVOT + CVaR (a=0.3, g=0.3)","FedCVaR uniform agg (a=0.3, g=0.3)",FedAvg (uniform over K),FedAvg (full)
840,0.212798,0.227702,0.229499,0.213138,0.211908
850,0.212506,0.226162,0.228015,0.212858,0.211795
860,0.212747,0.225948,0.227772,0.213069,0.211684
870,0.212478,0.226019,0.227795,0.212728,0.211576
880,0.212273,0.225724,0.22762,0.212552,0.21147
890,0.212193,0.224671,0.226624,0.212397,0.211366
900,0.211835,0.22371,0.225638,0.211975,0.211264
910,0.212135,0.224479,0.226279,0.212297,0.211165
920,0.211927,0.223816,0.225736,0.212074,0.211067
930,0.211988,0.226035,0.228037,0.212173,0.210972
940,0.211583,0.223275,0.225198,0.211714,0.210878
950,0.211546,0.223568,0.225512,0.211803,0.210786
960,0.211332,0.22267,0.224502,0.211545,0.210696
970,0.211164,0.223191,0.224977,0.211356,0.210608
980,0.211314,0.224606,0.226461,0.211522,0.210522
990,0.21113,0.223883,0.225661,0.211315,0.210437
1000,0.210925,0.223302,0.225228,0.211022,0.210354
1010,0.211182,0.223637,0.22535,0.211304,0.210272
1020,0.211393,0.22484,0.226631,0.211725,0.210192
1030,0.210608,0.224179,0.226041,0.210777,0.210113
1040,0.210658,0.224224,0.225935,0.210784,0.210036
1050,0.210454,0.22315,0.224885,0.210544,0.20996
1060,0.210483,0.223519,0.225468,0.210575,0.209886
1070,0.21044,0.224981,0.227057,0.210643,0.209813
1080,0.21024,0.224321,0.226394,0.210418,0.209741
1090,0.210033,0.223142,0.225022,0.210222,0.20967
1100,0.210204,0.223043,0.224979,0.210299,0.209601
1110,0.21028,0.223231,0.22492,0.210409,0.209533
1120,0.210348,0.222284,0.223979,0.210422,0.209466
1130,0.209944,0.22289,0.224831,0.20998,0.2094
1140,0.210087,0.223383,0.225414,0.210124,0.209335
1150,0.210106,0.222188,0.223922,0.210047,0.209272
1160,0.210146,0.221672,0.223358,0.210179,0.209209
1170,0.209924,0.222943,0.224793,0.209999,0.209147
1180,0.20988,0.222666,0.224353,0.209986,0.209087
1190,0.209692,0.222648,0.224364,0.209805,0.209027
1200,0.209784,0.223133,0.224931,0.209946,0.208968
1210,0.209541,0.221771,0.223412,0.209568,0.20891
1220,0.209369,0.222561,0.224445,0.209524,0.208853
1230,0.209349,0.22244,0.224294,0.209502,0.208797
1240,0.209595,0.22375,0.225575,0.209896,0.208742
1250,0.209358,0.223274,0.225108,0.209637,0.208688
1260,0.209582,0.223996,0.225912,0.209969,0.208634
1270,0.209467,0.223686,0.225553,0.209882,0.208582
1280,0.20924,0.222135,0.224079,0.209533,0.20853
1290,0.2091,0.221464,0.223245,0.20934,0.208478
